name,address,city,state,zip,phone,type,schedule,eligibility,notes,monday,tuesday,wednesday,thursday,friday,saturday,sunday,monday_frequency,tuesday_frequency,wednesday_frequency,thursday_frequency,friday_frequency,saturday_frequency,sunday_frequency,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours
Santa Sophia Conference,"Spring Valley, CA 91977",,CA,91977,619-341-1786,Walk-up,weekly,"Serves residents in: 91977, 91978, 91941, 91945, 92019 *Requires ID and utility bill for proof of residence*",,false,true,false,true,false,true,false,,weekly,,weekly,,weekly,,,9:30 AM - 11:00 AM,,9:30 AM - 11:00 AM,,9:30 AM - 11:00 AM,
Spring Valley Produce Pantry,"Spring Valley, CA 91977",,CA,91977,,Walk-up,1st Monday of the month from 10:00 - 11:00 a.m.,,,true,false,false,false,false,false,false,1st,,,,,,,10:00 AM - 11:00 AM,,,,,,
Heaven's Windows,"Spring Valley, CA 91977",,CA,91977,619-303-7806,"Walk-up, Drive-through",weekly,,,false,true,true,true,true,false,false,,weekly,weekly,weekly,weekly,,,,9:00 AM - 12:00 PM,9:00 AM - 12:00 PM,9:00 AM - 12:00 PM,9:00 AM - 12:00 PM,,
Pardise Valley SDA,"Spring Valley, CA 91977",,CA,91977,760-755-5325,Drive-through,1st Saturday of the month at 4:00 p.m.,,,false,false,false,false,false,true,false,,,,,,1st,,,,,,,4:00 PM - 5:00 PM,
LJC Ministries,"Spring Valley, CA 91977",,CA,91977,,"Walk-up, Drive-through",1st and 3rd Thursday of the month from 10:30 a.m. - 12:00 p.m.,,,false,false,false,true,false,false,false,,,,"1st, 3rd",,,,,,,10:30 AM - 12:00 PM,,,
Samoa/Lutheran Feeding Ministry,"Lemon Grove, CA 91945",,CA,91945,619-251-6834,,1st and last Friday of the month from 9:00 - 10:30 a.m.,,,false,false,false,false,true,false,false,,,,,"1st, last",,,,,,,9:00 AM - 10:30 AM,,
Crosspointe - Our Church,"La Mesa, CA 91942",,CA,91942,619-464-3077,"Walk-up, Drive-through",weekly,ID Required Arrive no later than 9:00 a.m. Emergency food distribution is also available. Bring your own bags.,,false,true,false,true,false,false,false,,weekly,,weekly,,,,,9:00 AM - 10:00 AM,,9:00 AM - 10:00 AM,,,
North Park Apostolic Church,"Lemon Grove, CA 91945",,CA,91945,619-229-2800,"Walk-up, Drive-through",weekly,,,false,false,true,true,false,false,false,,,weekly,weekly,,,,,,12:00 PM - 2:00 PM,12:00 PM - 2:00 PM,,,
Shepherd's Pantry,"El Cajon, CA 92020",,CA,92020,619-442-9491,"Walk-up, Drive-through",weekly,,,false,false,false,false,false,true,false,,,,,,weekly,,,,,,,8:00 AM - 10:00 AM,
Journey Community Church,"La Mesa, CA 91942",,CA,91942,619-464-4544,"Walk-up, Drive-through",1st & 4th Thursday of the month at 7:00 p.m. 2nd Friday of the month at 9:00 a.m. 3rd Saturday of the month at 8:30 a.m.,,,false,false,false,true,true,true,false,,,,"1st, 4th",2nd,3rd,,,,,19:00,9:00,8:30,
Trinity Lutheran Church,"San Diego, CA 92114",,CA,92114,619-262-1089,Walk-up,weekly,,,false,true,false,true,false,false,false,,weekly,,weekly,,,,,9:00 AM - 2:00 PM,,9:00 AM - 2:00 PM,,,
Christian Church of Lemon Grove,"Lemon Grove, CA 91945",,CA,91945,619-465-1888,"Walk-up, Drive-through",2nd and 4th Tuesday of the month from 3:00 - 5:00 p.m.,,,false,true,false,false,false,false,false,,"2nd, 4th",,,,,,,3:00 PM - 5:00 PM,,,,,
Lexington Elementary School Pantry,"El Cajon, CA 92019",,CA,92019,,Walk-up,1st and 3rd Friday of the month from 4:00 - 5:00 p.m.,,,false,false,false,false,true,false,false,,,,,"1st, 3rd",,,,,,,4:00 PM - 5:00 PM,,
Salvation Army El Cajon,"El Cajon, CA 92021",,CA,92021,619-593-1077,Walk-up,weekly,New clients will be asked to provide IDs. Diapers are provided for all children under the age of 3 years old once a month.,,true,false,true,false,true,false,false,weekly,,weekly,,weekly,,,1:00 PM - 4:00 PM,,2:30 PM - 4:00 PM,,1:00 PM - 6:00 PM,,
Meridian Baptist Church,"El Cajon, CA 92019",,CA,92019,619-444-3171,"Walk-up, Drive-through",weekly,,,false,false,false,true,false,false,false,,,,weekly,,,,,,,3:45 PM - 4:45 PM,,,
El Cajon Valley High School Pantry,"El Cajon, CA 92021",,CA,92021,619-401-4729,Drive-through,weekly,,,false,false,true,false,false,false,false,,,weekly,,,,,,,7:30 AM - 8:00 AM,,,,
I Am My Brother's Keeper,"San Diego, CA 92114",,CA,92114,619-262-7600,"Walk-up, Drive-through",weekly,By appointment only,,false,true,false,false,false,false,false,,weekly,,,,,,,1:00 PM - 3:00 PM,,,,,
Rock Church - El Cajon,"El Cajon, CA 92020",,CA,92020,619-226-7625,Drive-through,3rd Tuesday of the month from 10:00 a.m. - 12:00 p.m.,,,false,true,false,false,false,false,false,,3rd,,,,,,,10:00 AM - 12:00 PM,,,,,
Fourth District Senior Resource Center,"San Diego, CA 92114",,CA,92114,619-266-2066,Walk-up,4th Thursday of the month at 11:30 a.m.,"Call first First come, first served distribution for seniors",,false,false,false,true,false,false,false,,,,4th,,,,,,,11:30,,,
Bayview Baptist Church AKA Daily Bread Marketplace,"San Diego, CA 92114",,CA,92114,619-262-8384,,weekly,"Call first, by appointment only",,true,true,true,true,false,false,false,weekly,weekly,weekly,weekly,,,,9:00 AM - 12:00 PM,9:00 AM - 12:00 PM,2:00 PM - 5:00 PM,9:00 AM - 12:00 PM,,,
San Diego Maranatha SDA Church,"San Diego, CA 92114",,CA,92114,,"Walk-up, Drive-through",4th Saturday of the month from 2:00 - 4:00 p.m.,,,false,false,false,false,false,true,false,,,,,,4th,,,,,,,2:00 PM - 4:00 PM,
Abundant Grace Christian Center,"San Diego, CA 92115",,CA,92115,619-788-2027,Walk-up,weekly,,,true,false,true,false,false,false,true,weekly,,weekly,,,,weekly,9:00 AM - 10:00 AM,,8:00 PM - 8:30 PM,,,,11:30 AM - 12:30 PM
Shadow Mountain Cares,"El Cajon, CA 92019",,CA,92019,619-590-2157,Walk-up,weekly,Registration & I.D. Required Register in person,,true,false,false,false,true,false,false,weekly,,,,weekly,,,1:00 PM - 6:00 PM,,,,8:00 AM - 1:00 PM,,
El Cajon Produce Pantry,"Lot 7, El Cajon, CA 92020",,CA,92020,,Walk-up,4th Friday of the month from 10:00 - 11:00 a.m.,,,false,false,false,false,true,false,false,,,,,4th,,,,,,,10:00 AM - 11:00 AM,,
Mann Middle School Pantry,"San Diego, CA 92115",,CA,92115,,Walk-up,2nd Thursday of the month from 2:26 - 3:30 p.m.,,,false,false,false,true,false,false,false,,,,2nd,,,,,,,2:26 PM - 3:30 PM,,,
STAR/PAL Colina del Sol Park,"San Diego, CA 92105",,CA,92105,619-484-7557,Walk-up,2nd Tuesday of the month from 9:00 a.m. - 11:00 a.m. or until supplies lasts,,,false,true,false,false,false,false,false,,2nd,,,,,,,9:00 AM - 11:00 AM,,,,,
Paradise Hills Elementary School Pantry,"San Diego, CA 92139",,CA,92139,,Walk-up,2nd and 4th Wednesday of the month from 11:30 a.m. - 12:30 p.m.,,,false,false,true,false,false,false,false,,,"2nd, 4th",,,,,,,11:30 AM - 12:30 PM,,,,
New Hope SDA,"San Diego, CA 92105",,CA,92105,808-409-3165,Walk-up,2nd Thursday of the month from 8:00 -11:00 a.m.,,,false,false,false,true,false,false,false,,,,"2nd, 4th",,,,,,,8:00 AM - 11:00 AM,,,
Wesley House,"San Diego, CA 92115",,CA,92115,619-582-0773,Walk-up,weekly,Current College Students Only. Proof of enrollment required.,,true,true,true,true,true,false,false,weekly,weekly,weekly,weekly,weekly,,,9:30 AM - 11:30 AM,1:30 PM - 4:30 PM,1:30 PM - 4:30 PM,1:30 PM - 4:30 PM,1:30 PM - 4:30 PM,,
